jj,amount,label
3.356,128.28,BestIndividual
3.248,126.59,BestIndividual
2.917,130.781,BestIndividual
2.758,132.119,BestIndividual
2.757,132.118,BestIndividual
2.436,130.994,BestIndividual
2.435,130.991,BestIndividual
2.37,130.917,BestIndividual
2.346,131.035,BestIndividual
2.238,131.379,BestIndividual
2.174,133.081,BestIndividual
2.102,146.528,BestIndividual
2.07,134.71,BestIndividual
2.028,134.555,BestIndividual
1.903,148.009,BestIndividual
1.808,147.625,BestIndividual
1.782,146.157,BestIndividual
1.634,144.552,BestIndividual
1.633,144.528,BestIndividual
1.596,144.536,BestIndividual
1.474,146.667,BestIndividual
1.42,146.492,BestIndividual
1.392,147.096,BestIndividual
1.339,147.083,BestIndividual
1.324,147.05,BestIndividual
1.247,145.662,BestIndividual
1.245,145.687,BestIndividual
1.24,145.75,BestIndividual
1.237,145.727,BestIndividual
1.236,145.739,BestIndividual
1.235,145.729,BestIndividual
1.234,145.721,BestIndividual
1.233,145.553,BestIndividual
1.232,145.552,BestIndividual
1.198,146.185,BestIndividual
1.167,146.199,BestIndividual
1.167,146.193,BestIndividual
1.137,141.96,BestIndividual
1.084,141.394,BestIndividual
1.08,141.382,BestIndividual
1.074,141.473,BestIndividual
1.072,141.483,BestIndividual
1.076,140.938,BestIndividual
1.08,139.98,BestIndividual
1.079,139.981,BestIndividual
1.077,140.222,BestIndividual
1.074,140.23,BestIndividual
9.867,2262.134,BestInitial
9.664,2142.516,BestIndividual
9.6,2058.989,BestIndividual
9.311,2057.585,BestIndividual
12.143,1230.377,BestIndividual
10.455,1214.314,BestIndividual
21.34,1201.443,BestIndividual
16.546,628.372,BestIndividual
16.987,589.946,BestIndividual
10.334,232.17,BestIndividual
18.869,224.958,BestIndividual
23.909,181.436,BestIndividual
23.921,181.304,BestIndividual
24.18,177.69,BestIndividual
24.256,171.678,BestIndividual
23.867,168.909,BestIndividual
15.145,119.972,BestIndividual
8.732,148.4,BestIndividual
8.684,147.535,BestIndividual
8.439,146.66,BestIndividual
8.152,146.06,BestIndividual
8.077,137.418,BestIndividual
7.89,143.848,BestIndividual
7.78,145.673,BestIndividual
7.54,145.288,BestIndividual
6.013,140.209,BestIndividual
5.515,140.694,BestIndividual
4.141,148.514,BestIndividual
3.194,147.638,BestIndividual
2.269,148.958,BestIndividual
2.266,148.956,BestIndividual
2.23,148.764,BestIndividual
2.228,148.66,BestIndividual
2.222,148.673,BestIndividual
1.817,148.631,BestIndividual
1.374,149.636,BestIndividual
1.375,149.373,BestIndividual
1.232,148.666,BestIndividual
1.174,148.666,BestIndividual
