jj,amount,label
23.18,340,BestIndividual
23.46,134.13,BestIndividual
22.14,134.05,BestIndividual
22.13,114.57,BestIndividual
22.08,116.35,BestIndividual
21.93,110.04,BestIndividual
11.48,145.34,BestIndividual
9.45,147.67,BestIndividual
9.42,140.3,BestIndividual
8.63,145.24,BestIndividual
8.62,146.84,BestIndividual
8.38,136.57,BestIndividual
7.94,136.58,BestIndividual
7.77,133.83,BestIndividual
5.99,141.59,BestIndividual
5.63,142.1,BestIndividual
5.4,140.26,BestIndividual
5.33,140.07,BestIndividual
5.22,140.08,BestIndividual
5.13,139.5,BestIndividual
4.71,132.35,BestIndividual
4.39,136.55,BestIndividual
4.23,136.94,BestIndividual
4.23,137.33,BestIndividual
4.09,137.36,BestIndividual
4.07,132.94,BestIndividual
3.69,131.84,BestIndividual
3.4,126.08,BestIndividual
3.36,128.28,BestIndividual
3.25,126.59,BestIndividual
2.92,130.79,BestIndividual
2.76,132.12,BestIndividual
2.44,131,BestIndividual
2.37,130.92,BestIndividual
2.35,131.04,BestIndividual
2.24,131.38,BestIndividual
2.18,133.09,BestIndividual
2.11,146.53,BestIndividual
2.07,134.71,BestIndividual
2.03,134.56,BestIndividual
1.91,148.01,BestIndividual
1.81,147.63,BestIndividual
1.79,146.16,BestIndividual
1.64,144.56,BestIndividual
1.64,144.53,BestIndividual
1.6,144.54,BestIndividual
1.48,146.67,BestIndividual
1.42,146.5,BestIndividual
1.34,147.09,BestIndividual
1.33,147.05,BestIndividual
1.25,145.67,BestIndividual
1.25,145.69,BestIndividual
1.24,145.75,BestIndividual
1.24,145.73,BestIndividual
1.24,145.74,BestIndividual
1.24,145.56,BestIndividual
1.2,146.19,BestIndividual
1.17,146.2,BestIndividual
1.14,141.96,BestIndividual
1.09,141.4,BestIndividual
1.08,141.39,BestIndividual
1.08,141.48,BestIndividual
1.08,141.49,BestIndividual
1.08,140.94,BestIndividual
1.08,139.98,BestIndividual
1.08,140.23,BestIndividual
1.08,140.23,BestLast
9.87,2262.14,BestInitial
9.67,2142.52,BestIndividual
9.6,2058.99,BestIndividual
9.32,2057.59,BestIndividual
12.15,1230.38,BestIndividual
10.46,1214.32,BestIndividual
21.34,1201.45,BestIndividual
16.55,628.38,BestIndividual
16.99,589.95,BestIndividual
10.34,232.17,BestIndividual
18.87,224.96,BestIndividual
23.91,181.44,BestIndividual
23.93,181.31,BestIndividual
24.18,177.69,BestIndividual
24.26,171.68,BestIndividual
23.87,168.91,BestIndividual
15.15,119.98,BestIndividual
8.74,148.4,BestIndividual
8.69,147.54,BestIndividual
8.44,146.66,BestIndividual
8.16,146.06,BestIndividual
8.08,137.42,BestIndividual
7.89,143.85,BestIndividual
7.78,145.68,BestIndividual
7.54,145.29,BestIndividual
6.02,140.21,BestIndividual
5.52,140.7,BestIndividual
4.15,148.52,BestIndividual
3.2,147.64,BestIndividual
2.27,148.96,BestIndividual
2.23,148.77,BestIndividual
2.23,148.66,BestIndividual
1.82,148.64,BestIndividual
1.38,149.64,BestIndividual
1.38,149.38,BestIndividual
1.24,148.67,BestIndividual
1.18,148.67,BestIndividual
1.17,148.93,BestIndividual
1.15,148.63,BestIndividual
1.16,147.47,BestIndividual
1.16,144.5,BestIndividual
1.14,146.38,BestIndividual
1.03,146.42,BestIndividual
1,147.35,BestIndividual
0.98,146.82,BestIndividual
0.98,146.56,BestIndividual
0.97,146.55,BestIndividual
1,142.94,BestIndividual
0.97,141.73,BestIndividual
0.97,141.7,BestIndividual
0.99,141.67,BestIndividual
0.98,141.65,BestIndividual
0.98,141.64,BestIndividual
0.96,141.62,BestIndividual
0.96,141.05,BestIndividual
0.99,140.48,BestIndividual
0.99,139.55,BestIndividual
1,139.53,BestIndividual
1,139.53,BestLast
915.33,670.44,BestInitial
916.94,562.85,BestIndividual
867.19,547.57,BestIndividual
836.87,519.93,BestIndividual
982.83,514.58,BestIndividual
